source,target,relation,weight,directed
logic_propositional,logic_boolean_algebra,formalized_by,3,true
logic_propositional,logic_truth_tables,verified_by,2,true
logic_boolean_algebra,logic_predicate,extends,3,true
logic_predicate,logic_second_order,extends,4,true
logic_predicate,logic_quantifiers,uses,2,true
logic_predicate,logic_syntax_semantics,formalized_by,3,true
logic_syntax_semantics,logic_soundness_completeness,motivates,4,true
logic_soundness_completeness,logic_compactness_thm,implies,5,true
logic_compactness_thm,logic_lowenheim_skolem,connects_to,5,true
logic_lowenheim_skolem,logic_skolem_paradox,motivates,5,true
logic_skolem_paradox,liar_paradox,echoes,4,true
logic_syntax_semantics,model_theory_basics,founds,5,true
model_theory_basics,model_theory_elementary_equiv,defines,5,true
model_theory_elementary_equiv,nonstandard_analysis,enables,6,true
model_theory_basics,model_theory_stability,generalizes,7,true
model_theory_stability,model_theory_ominimality,specializes,6,true
logic_predicate,proof_theory_basics,defines,3,true
proof_theory_basics,hilberts_program,motivates,4,true
proof_theory_basics,gentzen_natural_deduction,formalizes,4,true
gentzen_natural_deduction,cut_elimination,proves,5,true
gentzen_natural_deduction,gentzen_consistency_pa,enables,6,true
hilberts_program,gentzen_consistency_pa,partially_achieves,6,true
gentzen_consistency_pa,ordinal_analysis,generalized_by,7,true
peano_axioms,gentzen_consistency_pa,concerns,6,true
intuitionistic_logic,curry_howard,connects_to,6,true
lambda_calculus,curry_howard,connects_to,6,true
lambda_calculus,church_turing,motivates,5,true
type_theory,martin_lof_type_theory,specializes,6,true
curry_howard,martin_lof_type_theory,generalizes,7,true
martin_lof_type_theory,homotopy_type_theory,extends,8,true
homotopy,homotopy_type_theory,inspires,8,true
turing_machine,recursion_theory,founds,5,true
church_turing,turing_machine,equivalent_to,5,true
turing_machine,halting_problem,proves,5,true
godel_incompleteness,halting_problem,connects_to,5,true
halting_problem,complexity_classes,motivates,5,true
complexity_classes,cook_levin,proves,7,true
cook_levin,p_vs_np,motivates,7,true
recursion_theory,descriptive_set_theory,used_in,6,true
cardinality,descriptive_set_theory,founds,5,true
descriptive_set_theory,determinacy_axioms,motivates,7,true
large_cardinals,determinacy_axioms,implies,8,true
zermelo_axioms,zfc_axioms,extended_by,3,true
axiom_of_replacement,zfc_axioms,included_in,3,true
axiom_of_foundation,zfc_axioms,included_in,3,true
naive_set_theory,russells_paradox,reveals_flaw_in,4,true
russells_paradox,zermelo_axioms,motivates_repair,4,true
naive_set_theory,burali_forti_paradox,reveals_flaw_in,4,true
burali_forti_paradox,ordinal_numbers,concerns,5,true
zfc_axioms,axiom_of_choice,extends,3,true
axiom_of_choice,zorn_lemma,equivalent_to,4,true
axiom_of_choice,well_ordering_theorem,equivalent_to,4,true
axiom_of_choice,banach_tarski,enables,6,true
zfc_axioms,peano_axioms,motivates,3,true
peano_axioms,naturals,axiomatizes,4,true
naturals,integers,extends,3,true
integers,rationals,extends,3,true
rationals,reals_construction,completes,4,true
reals_construction,complex_numbers,extends,3,true
zeno_paradoxes,limits_epsilon_delta,motivates_resolution,3,true
naive_set_theory,cardinality,founds,3,true
cardinality,ordinal_numbers,parallels,4,true
ordinal_numbers,transfinite_induction,enables,5,true
cardinality,cantor_diagonal,uses,4,true
cantor_diagonal,cantor_schroder_bernstein,connects_to,4,true
cantor_diagonal,continuum_hypothesis,motivates,6,true
continuum_hypothesis,generalized_ch,generalizes,6,true
logic_predicate,godel_incompleteness,proves,6,true
zfc_axioms,godel_incompleteness,applies_to,6,true
godel_incompleteness,tarski_undefinability,connects_to,6,true
liar_paradox,godel_incompleteness,inspires,6,true
liar_paradox,tarski_undefinability,formalizes,5,true
continuum_hypothesis,godel_ch_consistency,partially_resolves,6,true
zfc_axioms,godel_constructible_universe,motivates,7,true
godel_constructible_universe,godel_ch_consistency,proves,8,true
godel_ch_consistency,cohen_forcing,completes,7,true
cohen_forcing,continuum_hypothesis,proves_independent,8,true
cohen_forcing,forcing_method,generalizes,8,true
forcing_method,large_cardinals,used_to_study,7,true
zfc_axioms,large_cardinals,extends,6,true
large_cardinals,inaccessible_cardinals,specializes,6,true
inaccessible_cardinals,measurable_cardinals,extends,7,true
measurable_cardinals,woodin_cardinals,extends,8,true
woodin_cardinals,determinacy_axioms,implies,8,true
large_cardinals,inner_model_theory,studied_via,8,true
godel_constructible_universe,inner_model_theory,founds,8,true
church_turing,halting_problem,motivates,4,true
halting_problem,p_vs_np,motivates,5,true
peano_axioms,divisibility,founds,2,true
divisibility,euclidean_algorithm,proves,2,true
euclidean_algorithm,bezout_identity,proves,2,true
euclidean_algorithm,continued_fractions,generalizes,3,true
continued_fractions,pell_equation,solves,4,true
bezout_identity,fundamental_thm_arithmetic,proves,3,true
euclidean_algorithm,fundamental_thm_arithmetic,proves,3,true
fundamental_thm_arithmetic,prime_numbers,characterizes,3,true
naturals,prime_numbers,defines,2,true
prime_numbers,sieve_of_eratosthenes,enumerated_by,1,true
prime_numbers,euclid_infinitude_primes,proves,2,true
euclid_infinitude_primes,mersenne_primes,motivates,3,true
mersenne_primes,lucas_lehmer_test,tested_by,4,true
prime_numbers,perfect_numbers,relates_to,2,true
euclid_infinitude_primes,euclid_perfect_numbers,connects_to,3,true
mersenne_primes,euclid_perfect_numbers,connects_to,4,true
perfect_numbers,euclid_perfect_numbers,characterizes,4,true
perfect_numbers,amicable_numbers,generalizes,2,true
prime_numbers,modular_arithmetic,uses,2,true
modular_arithmetic,disquisitiones_arithmeticae,formalized_by,4,true
euclidean_algorithm,chinese_remainder_thm,generalizes,3,true
modular_arithmetic,chinese_remainder_thm,uses,3,true
modular_arithmetic,fermat_little_theorem,proves,3,true
fermat_little_theorem,euler_theorem_totient,generalizes,4,true
euler_totient_fn,euler_theorem_totient,defines,3,true
fermat_little_theorem,carmichael_numbers,counterexample_class,4,true
fermat_little_theorem,wilsons_theorem,connects_to,3,true
wilsons_theorem,primality_testing,motivates,3,true
primality_testing,aks_primality,culminates_in,7,true
modular_arithmetic,quadratic_residues,founds,3,true
quadratic_residues,legendre_symbol,formalized_by,3,true
legendre_symbol,jacobi_symbol,generalizes,3,true
legendre_symbol,quadratic_reciprocity,motivates,4,true
quadratic_reciprocity,gauss_sums,proved_via,5,true
quadratic_reciprocity,fermat_two_squares,connects_to,4,true
fermat_two_squares,sum_of_squares_general,generalizes,4,true
fermat_two_squares,lagrange_four_square,generalizes,3,true
lagrange_four_square,waring_problem,generalizes,5,true
waring_problem,hilbert_waring,resolved_by,6,true
pell_equation,diophantine_equations,specializes,3,true
diophantine_equations,fermat_last_theorem,generalizes,4,true
diophantine_equations,hilberts_10th_problem,motivates,6,true
hilberts_10th_problem,matiyasevich_thm,resolved_by,8,true
recursion_theory,matiyasevich_thm,used_in,7,true
modular_arithmetic,fermat_last_theorem,motivates,5,true
fermat_little_theorem,fermat_last_theorem,connects_to,4,true
fermat_last_theorem,fermat_last_n4,special_case,4,true
fermat_last_n4,kummer_ideal_numbers,generalized_by,6,true
