id,label,category,era,status,weight,url
logic_propositional,Propositional logic,Logic,Ancient-Modern,axiom,1,
logic_boolean_algebra,Boolean algebra,Logic,1854 (Boole),definition,2,https://en.wikipedia.org/wiki/Boolean_algebra
logic_truth_tables,Truth tables & tautology,Logic,1921 (Post/Wittgenstein),definition,1,https://en.wikipedia.org/wiki/Truth_table
logic_predicate,First-order predicate logic,Logic,1879-1928,definition,2,https://en.wikipedia.org/wiki/First-order_logic
logic_second_order,Second-order logic,Logic,1900s,definition,4,https://en.wikipedia.org/wiki/Second-order_logic
logic_quantifiers,"Quantifiers (∀, ∃)",Logic,1879 (Frege),definition,2,https://en.wikipedia.org/wiki/Quantifier_(logic)
logic_syntax_semantics,Syntax vs. semantics; formal languages,Logic,1930s (Tarski),definition,3,https://en.wikipedia.org/wiki/Formal_language
logic_soundness_completeness,Soundness & completeness theorems,Logic,1930 (Gödel),theorem,5,https://en.wikipedia.org/wiki/G%C3%B6del%27s_completeness_theorem
logic_compactness_thm,Compactness theorem,Logic,1930,theorem,5,https://en.wikipedia.org/wiki/Compactness_theorem
logic_lowenheim_skolem,Löwenheim–Skolem theorem,Logic,1915-1920,theorem,6,https://en.wikipedia.org/wiki/L%C3%B6wenheim%E2%80%93Skolem_theorem
logic_skolem_paradox,Skolem's paradox,Logic,1922,theorem,6,https://en.wikipedia.org/wiki/Skolem%27s_paradox
model_theory_basics,Model theory: structures & satisfaction,Logic,1950s (Tarski),definition,5,https://en.wikipedia.org/wiki/Model_theory
model_theory_elementary_equiv,Elementary equivalence & ultraproducts,Logic,1950s,definition,6,https://en.wikipedia.org/wiki/Elementary_equivalence
model_theory_stability,Stability theory (Shelah),Logic,1969-1990,theorem,8,https://en.wikipedia.org/wiki/Stable_theory
model_theory_ominimality,O-minimality,Logic,1980s,definition,7,https://en.wikipedia.org/wiki/O-minimal_theory
nonstandard_analysis,Nonstandard analysis (hyperreals),Logic,1960 (Robinson),theorem,7,https://en.wikipedia.org/wiki/Nonstandard_analysis
proof_theory_basics,Proof theory: formal derivations,Logic,1920s (Hilbert),definition,4,https://en.wikipedia.org/wiki/Proof_theory
hilberts_program,Hilbert's program,Logic,1920s,conjecture,6,https://en.wikipedia.org/wiki/Hilbert%27s_program
gentzen_natural_deduction,Gentzen: natural deduction & sequent calculus,Logic,1934,definition,5,https://en.wikipedia.org/wiki/Natural_deduction
gentzen_consistency_pa,Gentzen's consistency proof of PA,Logic,1936,theorem,7,https://en.wikipedia.org/wiki/Gentzen%27s_consistency_proof
ordinal_analysis,Ordinal analysis of theories,Logic,1936-present,theorem,8,https://en.wikipedia.org/wiki/Ordinal_analysis
cut_elimination,Cut-elimination theorem,Logic,1934,theorem,6,https://en.wikipedia.org/wiki/Cut-elimination_theorem
intuitionistic_logic,Intuitionistic logic,Logic,1907-1930 (Brouwer/Heyting),axiom,4,https://en.wikipedia.org/wiki/Intuitionistic_logic
curry_howard,Curry–Howard correspondence,Logic,1934-1969,theorem,7,https://en.wikipedia.org/wiki/Curry%E2%80%93Howard_correspondence
lambda_calculus,Lambda calculus,Logic,1932 (Church),definition,5,https://en.wikipedia.org/wiki/Lambda_calculus
type_theory,Type theory,Logic,1908 (Russell),axiom,6,https://en.wikipedia.org/wiki/Type_theory
martin_lof_type_theory,Martin-Löf dependent type theory,Logic,1972,theorem,8,https://en.wikipedia.org/wiki/Intuitionistic_type_theory
homotopy_type_theory,Homotopy type theory / univalent foundations,Logic,2006-2013 (Voevodsky),theorem,9,https://en.wikipedia.org/wiki/Homotopy_type_theory
recursion_theory,Computability / recursion theory,Logic,1930s,definition,5,https://en.wikipedia.org/wiki/Computability_theory
turing_machine,Turing machines,Logic,1936,definition,5,https://en.wikipedia.org/wiki/Turing_machine
church_turing,Church–Turing thesis,Logic,1936,conjecture,6,https://en.wikipedia.org/wiki/Church%E2%80%93Turing_thesis
halting_problem,Halting problem (undecidability),Logic,1936,theorem,5,https://en.wikipedia.org/wiki/Halting_problem
complexity_classes,"Complexity classes (P, NP, PSPACE)",Logic,1965-1971,definition,6,https://en.wikipedia.org/wiki/Computational_complexity_theory
cook_levin,Cook–Levin theorem (NP-completeness),Logic,1971,theorem,8,https://en.wikipedia.org/wiki/Cook%E2%80%93Levin_theorem
p_vs_np,P vs NP,Logic,1971-present,open_problem,10,https://en.wikipedia.org/wiki/P_versus_NP_problem
descriptive_set_theory,Descriptive set theory,Set Theory,1910s-1980s,theorem,7,https://en.wikipedia.org/wiki/Descriptive_set_theory
determinacy_axioms,Axiom of Determinacy,Set Theory,1962,conjecture,8,https://en.wikipedia.org/wiki/Axiom_of_determinacy
zfc_axioms,ZFC axioms,Set Theory,1908-1922,axiom,2,https://en.wikipedia.org/wiki/Zermelo%E2%80%93Fraenkel_set_theory
zermelo_axioms,Zermelo's original axioms (1908),Set Theory,1908,axiom,2,https://en.wikipedia.org/wiki/Zermelo_set_theory
axiom_of_replacement,Axiom of Replacement (Fraenkel/Skolem),Set Theory,1922,axiom,3,https://en.wikipedia.org/wiki/Axiom_schema_of_replacement
axiom_of_foundation,Axiom of Foundation/Regularity,Set Theory,1925 (von Neumann),axiom,3,https://en.wikipedia.org/wiki/Axiom_of_regularity
axiom_of_choice,Axiom of Choice,Set Theory,1904,axiom,3,https://en.wikipedia.org/wiki/Axiom_of_choice
